,lr,dpr,batch_size,train_loss,val_loss,train_acc,val_acc
0,0.01,0.1,32,1.1010586493781633,0.3076227946413888,0.89185,0.8886999999999998
1,0.01,0.1,64,0.919208184350282,0.3053823044523597,0.9099499999999999,0.8894
2,0.01,0.1,128,0.890496517624706,0.2864318937063217,0.9102750000000001,0.8985
3,0.01,0.3,32,1.3413831191166998,0.26969839511882693,0.8701500000000001,0.8974
4,0.01,0.3,64,1.2325921920128167,0.2762207665015012,0.8774749999999999,0.8976999999999998
5,0.01,0.3,128,1.2033845601603388,0.28138830699026585,0.8791,0.8896000000000001
6,0.01,0.5,32,1.8430184533671727,0.3349333429383853,0.8242,0.8699
7,0.01,0.5,64,1.7419784476980567,0.32131182798184454,0.8292999999999999,0.8710000000000001
8,0.01,0.5,128,1.6673925397917628,0.31914723180234433,0.8359249999999999,0.8741999999999999
9,0.001,0.1,32,1.0886045535642002,0.2809713423961685,0.8946,0.8962
10,0.001,0.1,64,1.0265682824887334,0.2881223172880709,0.898925,0.8897999999999999
11,0.001,0.1,128,1.0110567192547024,0.28017577081918715,0.901925,0.8945000000000001
12,0.001,0.3,32,1.4387894388938707,0.30253665459061424,0.860225,0.8847999999999999
13,0.001,0.3,64,1.3026696391403676,0.2869432470295578,0.8708750000000001,0.8840999999999999
14,0.001,0.3,128,1.432845575734973,0.3016864774748683,0.85975,0.884
15,0.001,0.5,32,1.8262343110073183,0.33619693858282906,0.825075,0.8674999999999999
16,0.001,0.5,64,1.9117557900957762,0.3675385910086334,0.8102,0.8522000000000001
17,0.001,0.5,128,1.8498358864337205,0.3459889870136976,0.8222000000000002,0.8577999999999999
18,0.0001,0.1,32,1.2685671452965057,0.2770927762701398,0.8785749999999999,0.8937000000000002
19,0.0001,0.1,64,1.3448925109580159,0.30067839538678526,0.8679500000000001,0.8833
20,0.0001,0.1,128,1.40264902561903,0.3272858154028654,0.8648250000000001,0.8798
